"x"	"y"
0	-1.1003e-10
5e-11	-1.10396e-10
1e-10	-1.09969e-10
1.5e-10	-1.10029e-10
2e-10	-1.10023e-10
2.5e-10	-1.10025e-10
3e-10	-1.10025e-10
3.5e-10	-1.10025e-10
4e-10	-1.10026e-10
4.5e-10	-1.10026e-10
5e-10	-1.10026e-10
5.5e-10	-1.10026e-10
6e-10	-1.10027e-10
6.5e-10	-1.10027e-10
7e-10	-1.10027e-10
7.5e-10	-1.10027e-10
8e-10	-1.10027e-10
8.5e-10	-1.10027e-10
9e-10	-1.10027e-10
9.5e-10	-1.10028e-10
1e-09	-1.10028e-10
1.05e-09	-1.10028e-10
1.1e-09	-1.10028e-10
1.15e-09	-1.10028e-10
1.2e-09	-1.10028e-10
1.25e-09	-1.10028e-10
1.3e-09	-1.10028e-10
1.35e-09	-1.10028e-10
1.4e-09	-1.10028e-10
1.45e-09	-1.10028e-10
1.5e-09	-1.10028e-10
1.55e-09	-1.10028e-10
1.6e-09	-1.10028e-10
1.65e-09	-1.10028e-10
1.7e-09	-1.10028e-10
1.75e-09	-1.10028e-10
1.8e-09	-1.10028e-10
1.85e-09	-1.10028e-10
1.9e-09	-1.10028e-10
1.95e-09	-1.10028e-10
2e-09	-4.20502e-07
2.05e-09	-1.0562e-06
2.1e-09	-9.76539e-07
2.15e-09	-9.00375e-07
2.2e-09	-8.281e-07
2.25e-09	-7.60298e-07
2.3e-09	-6.96812e-07
2.35e-09	-6.37589e-07
2.4e-09	-5.82407e-07
2.45e-09	-5.30868e-07
2.5e-09	-4.82744e-07
2.55e-09	-4.37932e-07
2.6e-09	-3.96294e-07
2.65e-09	-3.57596e-07
2.7e-09	-3.21411e-07
2.75e-09	-2.87262e-07
2.8e-09	-2.54999e-07
2.85e-09	-2.24958e-07
2.9e-09	-1.97847e-07
2.95e-09	-1.74552e-07
3e-09	-1.55912e-07
3.05e-09	-1.42142e-07
3.1e-09	-1.32352e-07
3.15e-09	-1.24701e-07
3.2e-09	-1.17764e-07
3.25e-09	-1.10886e-07
3.3e-09	-1.04059e-07
3.35e-09	-9.73268e-08
3.4e-09	-9.06823e-08
3.45e-09	-8.41181e-08
3.5e-09	-7.76418e-08
3.55e-09	-7.12637e-08
3.6e-09	-6.49937e-08
3.65e-09	-5.88428e-08
3.7e-09	-5.28256e-08
3.75e-09	-4.6962e-08
3.8e-09	-4.12796e-08
3.85e-09	-3.58134e-08
3.9e-09	-3.06044e-08
3.95e-09	-2.56987e-08
4e-09	-2.11451e-08
4.05e-09	-1.69929e-08
4.1e-09	-1.32883e-08
4.15e-09	-1.00694e-08
4.2e-09	-7.36022e-09
4.25e-09	-5.16469e-09
4.3e-09	-3.46267e-09
4.35e-09	-2.20942e-09
4.4e-09	-1.33959e-09
4.45e-09	-7.75058e-10
4.5e-09	-4.3519e-10
4.55e-09	-2.46809e-10
4.6e-09	-1.51311e-10
4.65e-09	-1.07276e-10
4.7e-09	-8.88891e-11
4.75e-09	-8.19711e-11
4.8e-09	-7.965e-11
4.85e-09	-7.89848e-11
4.9e-09	-7.88612e-11
4.95e-09	-7.89022e-11
5e-09	-7.89918e-11
5.05e-09	-7.90962e-11
5.1e-09	-7.92056e-11
5.15e-09	-7.93165e-11
5.2e-09	-7.94278e-11
5.25e-09	-7.95387e-11
5.3e-09	-7.9649e-11
5.35e-09	-7.97586e-11
5.4e-09	-7.98672e-11
5.45e-09	-7.99748e-11
5.5e-09	-8.00814e-11
5.55e-09	-8.01869e-11
5.6e-09	-8.02912e-11
5.65e-09	-8.03943e-11
5.7e-09	-8.04962e-11
5.75e-09	-8.05969e-11
5.8e-09	-8.06963e-11
5.85e-09	-8.07945e-11
5.9e-09	-8.08914e-11
5.95e-09	-8.09871e-11
6e-09	-8.10816e-11
6.05e-09	-8.11748e-11
6.1e-09	-8.12669e-11
6.15e-09	-8.13578e-11
6.2e-09	-8.14475e-11
6.25e-09	-8.1536e-11
6.3e-09	-8.16234e-11
6.35e-09	-8.17098e-11
6.4e-09	-8.1795e-11
6.45e-09	-8.18793e-11
6.5e-09	-8.19624e-11
6.55e-09	-8.20446e-11
6.6e-09	-8.21259e-11
6.65e-09	-8.22061e-11
6.7e-09	-8.22855e-11
6.75e-09	-8.23639e-11
6.8e-09	-8.24414e-11
6.85e-09	-8.25181e-11
6.9e-09	-8.2594e-11
6.95e-09	-8.2669e-11
7e-09	-8.27433e-11
7.05e-09	-8.28167e-11
7.1e-09	-8.28894e-11
7.15e-09	-8.29614e-11
7.2e-09	-8.30326e-11
7.25e-09	-8.31031e-11
7.3e-09	-8.31729e-11
7.35e-09	-8.32421e-11
7.4e-09	-8.33106e-11
7.45e-09	-8.33784e-11
7.5e-09	-8.34456e-11
7.55e-09	-8.35122e-11
7.6e-09	-8.35782e-11
7.65e-09	-8.36436e-11
7.7e-09	-8.37084e-11
7.75e-09	-8.37726e-11
7.8e-09	-8.38363e-11
7.85e-09	-8.38994e-11
7.9e-09	-8.3962e-11
7.95e-09	-8.4024e-11
8e-09	-8.40856e-11
8.05e-09	-8.41466e-11
8.1e-09	-8.42071e-11
8.15e-09	-8.42672e-11
8.2e-09	-8.43268e-11
8.25e-09	-8.43859e-11
8.3e-09	-8.44445e-11
8.35e-09	-8.45027e-11
8.4e-09	-8.45604e-11
8.45e-09	-8.46177e-11
8.5e-09	-8.46746e-11
8.55e-09	-8.47311e-11
8.6e-09	-8.47871e-11
8.65e-09	-8.48427e-11
8.7e-09	-8.48979e-11
8.75e-09	-8.49527e-11
8.8e-09	-8.50072e-11
8.85e-09	-8.50612e-11
8.9e-09	-8.51149e-11
8.95e-09	-8.51682e-11
9e-09	-8.52211e-11
9.05e-09	-8.52737e-11
9.1e-09	-8.53259e-11
9.15e-09	-8.53777e-11
9.2e-09	-8.54292e-11
9.25e-09	-8.54804e-11
9.3e-09	-8.55312e-11
9.35e-09	-8.55817e-11
9.4e-09	-8.56319e-11
9.45e-09	-8.56817e-11
9.5e-09	-8.57313e-11
9.55e-09	-8.57805e-11
9.6e-09	-8.58294e-11
9.65e-09	-8.5878e-11
9.7e-09	-8.59263e-11
9.75e-09	-8.59743e-11
9.8e-09	-8.6022e-11
9.85e-09	-8.60694e-11
9.9e-09	-8.61165e-11
9.95e-09	-8.61634e-11
1e-08	-8.621e-11

