"x"	"y"
0	1.11685e-13
5e-11	1.11722e-13
1e-10	1.11718e-13
1.5e-10	1.11721e-13
2e-10	1.11719e-13
2.5e-10	1.11719e-13
3e-10	1.11735e-13
3.5e-10	1.11726e-13
4e-10	1.11726e-13
4.5e-10	1.11735e-13
5e-10	1.1172e-13
5.5e-10	1.11748e-13
6e-10	1.11721e-13
6.5e-10	1.11719e-13
7e-10	1.11719e-13
7.5e-10	1.11722e-13
8e-10	1.11719e-13
8.5e-10	1.11721e-13
9e-10	1.11719e-13
9.5e-10	1.11721e-13
1e-09	1.11719e-13
1.05e-09	1.11712e-13
1.1e-09	1.11722e-13
1.15e-09	1.11721e-13
1.2e-09	1.11719e-13
1.25e-09	1.11722e-13
1.3e-09	1.11719e-13
1.35e-09	1.11722e-13
1.4e-09	1.11719e-13
1.45e-09	1.11721e-13
1.5e-09	1.11728e-13
1.55e-09	1.11719e-13
1.6e-09	1.11719e-13
1.65e-09	1.11721e-13
1.7e-09	1.11719e-13
1.75e-09	1.11721e-13
1.8e-09	1.11719e-13
1.85e-09	1.11721e-13
1.9e-09	1.11719e-13
1.95e-09	1.11721e-13
2e-09	1.25166e-07
2.05e-09	2.48726e-07
2.1e-09	1.58838e-07
2.15e-09	8.59994e-08
2.2e-09	4.37364e-08
2.25e-09	2.72455e-08
2.3e-09	2.06286e-08
2.35e-09	1.688e-08
2.4e-09	1.42608e-08
2.45e-09	1.21993e-08
2.5e-09	1.04932e-08
2.55e-09	9.05197e-09
2.6e-09	7.83214e-09
2.65e-09	6.80306e-09
2.7e-09	5.93674e-09
2.75e-09	5.20716e-09
2.8e-09	4.59121e-09
2.85e-09	4.06911e-09
2.9e-09	3.62459e-09
2.95e-09	3.24436e-09
3e-09	2.91759e-09
3.05e-09	2.63547e-09
3.1e-09	2.39079e-09
3.15e-09	2.17765e-09
3.2e-09	1.99118e-09
3.25e-09	1.82735e-09
3.3e-09	1.68284e-09
3.35e-09	1.55484e-09
3.4e-09	1.44103e-09
3.45e-09	1.33943e-09
3.5e-09	1.2484e-09
3.55e-09	1.16654e-09
3.6e-09	1.09265e-09
3.65e-09	1.02572e-09
3.7e-09	9.64878e-10
3.75e-09	9.09391e-10
