"x"	"y"
0	-1.52799e-12
5e-11	-1.89319e-12
1e-10	-1.46678e-12
1.5e-10	-1.52676e-12
2e-10	-1.52075e-12
2.5e-10	-1.52243e-12
3e-10	-1.52283e-12
3.5e-10	-1.52325e-12
4e-10	-1.52357e-12
4.5e-10	-1.52385e-12
5e-10	-1.52409e-12
5.5e-10	-1.5243e-12
6e-10	-1.52448e-12
6.5e-10	-1.52465e-12
7e-10	-1.52479e-12
7.5e-10	-1.52492e-12
8e-10	-1.52504e-12
8.5e-10	-1.52515e-12
9e-10	-1.52525e-12
9.5e-10	-1.52533e-12
1e-09	-1.52541e-12
1.05e-09	-1.52549e-12
1.1e-09	-1.52556e-12
1.15e-09	-1.52563e-12
1.2e-09	-1.52569e-12
1.25e-09	-1.52575e-12
1.3e-09	-1.5258e-12
1.35e-09	-1.52585e-12
1.4e-09	-1.5259e-12
1.45e-09	-1.52594e-12
1.5e-09	-1.52599e-12
1.55e-09	-1.52602e-12
1.6e-09	-1.52606e-12
1.65e-09	-1.52609e-12
1.7e-09	-1.52613e-12
1.75e-09	-1.52616e-12
1.8e-09	-1.52619e-12
1.85e-09	-1.52622e-12
1.9e-09	-1.52625e-12
1.95e-09	-1.52627e-12
2e-09	-3.69915e-07
2.05e-09	-9.58618e-07
2.1e-09	-9.09422e-07
2.15e-09	-8.58872e-07
2.2e-09	-8.09967e-07
2.25e-09	-7.623e-07
2.3e-09	-7.15882e-07
2.35e-09	-6.70444e-07
2.4e-09	-6.2586e-07
2.45e-09	-5.82282e-07
2.5e-09	-5.39698e-07
2.55e-09	-4.9805e-07
2.6e-09	-4.57358e-07
2.65e-09	-4.17634e-07
2.7e-09	-3.7865e-07
2.75e-09	-3.40005e-07
2.8e-09	-3.01686e-07
2.85e-09	-2.64555e-07
2.9e-09	-2.30259e-07
2.95e-09	-2.00637e-07
3e-09	-1.77511e-07
3.05e-09	-1.61246e-07
3.1e-09	-1.50316e-07
3.15e-09	-1.41996e-07
3.2e-09	-1.34357e-07
3.25e-09	-1.26826e-07
3.3e-09	-1.19325e-07
3.35e-09	-1.11847e-07
3.4e-09	-1.04373e-07
3.45e-09	-9.68894e-08
3.5e-09	-8.93932e-08
3.55e-09	-8.18862e-08
3.6e-09	-7.43775e-08
3.65e-09	-6.68855e-08
3.7e-09	-5.944e-08
3.75e-09	-5.20854e-08
3.8e-09	-4.48839e-08
3.85e-09	-3.79173e-08
3.9e-09	-3.12873e-08
3.95e-09	-2.511e-08
4e-09	-1.95066e-08
4.05e-09	-1.45881e-08
4.1e-09	-1.04389e-08
4.15e-09	-7.09985e-09
4.2e-09	-4.55718e-09
4.25e-09	-2.74064e-09
4.3e-09	-1.53367e-09
4.35e-09	-7.94102e-10
4.4e-09	-3.79342e-10
