"x"	"y"
0	2.28035e-11
5e-11	2.28069e-11
1e-10	2.28031e-11
1.5e-10	2.28042e-11
2e-10	2.28033e-11
2.5e-10	2.28033e-11
3e-10	2.2805e-11
3.5e-10	2.28051e-11
4e-10	2.28051e-11
4.5e-10	2.28051e-11
5e-10	2.28036e-11
5.5e-10	2.28056e-11
6e-10	2.28042e-11
6.5e-10	2.28041e-11
7e-10	2.28042e-11
7.5e-10	2.28042e-11
8e-10	2.28041e-11
8.5e-10	2.28043e-11
9e-10	2.28041e-11
9.5e-10	2.28042e-11
1e-09	2.28033e-11
1.05e-09	2.28024e-11
1.1e-09	2.28042e-11
1.15e-09	2.28042e-11
1.2e-09	2.28041e-11
1.25e-09	2.28042e-11
1.3e-09	2.28042e-11
1.35e-09	2.28042e-11
1.4e-09	2.28041e-11
1.45e-09	2.28042e-11
1.5e-09	2.2805e-11
1.55e-09	2.28036e-11
1.6e-09	2.28042e-11
1.65e-09	2.28042e-11
1.7e-09	2.28042e-11
1.75e-09	2.28042e-11
1.8e-09	2.28041e-11
1.85e-09	2.28042e-11
1.9e-09	2.28041e-11
1.95e-09	2.28042e-11
2e-09	1.61102e-07
2.05e-09	3.11428e-07
2.1e-09	2.22617e-07
2.15e-09	1.55729e-07
2.2e-09	1.08622e-07
2.25e-09	7.54833e-08
2.3e-09	5.16345e-08
2.35e-09	3.3993e-08
2.4e-09	2.06098e-08
2.45e-09	1.02203e-08
2.5e-09	2.0433e-09
2.55e-09	-4.47831e-09
2.6e-09	-9.73009e-09
2.65e-09	-1.39863e-08
2.7e-09	-1.74455e-08
2.75e-09	-2.02534e-08
2.8e-09	-2.25205e-08
2.85e-09	-2.43317e-08
2.9e-09	-2.57533e-08
2.95e-09	-2.68386e-08
3e-09	-2.76309e-08
3.05e-09	-2.81668e-08
3.1e-09	-2.84778e-08
3.15e-09	-2.85913e-08
3.2e-09	-2.85323e-08
3.25e-09	-2.83237e-08
3.3e-09	-2.79863e-08
3.35e-09	-2.754e-08
3.4e-09	-2.70029e-08
3.45e-09	-2.63921e-08
3.5e-09	-2.57232e-08
3.55e-09	-2.50104e-08
3.6e-09	-2.42664e-08
3.65e-09	-2.35026e-08
3.7e-09	-2.27287e-08
3.75e-09	-2.19531e-08
3.8e-09	-2.11827e-08
3.85e-09	-2.04233e-08
3.9e-09	-1.96794e-08
3.95e-09	-1.89544e-08
4e-09	-1.82511e-08
4.05e-09	-1.7571e-08
4.1e-09	-1.69155e-08
4.15e-09	-1.6285e-08
4.2e-09	-1.56798e-08
4.25e-09	-1.50995e-08
4.3e-09	-1.45439e-08
4.35e-09	-1.40122e-08
4.4e-09	-1.35035e-08
4.45e-09	-1.30169e-08
4.5e-09	-1.25515e-08
4.55e-09	-1.21062e-08
4.6e-09	-1.16799e-08
4.65e-09	-1.12717e-08
4.7e-09	-1.08806e-08
4.75e-09	-1.05054e-08
4.8e-09	-1.01454e-08
4.85e-09	-9.79954e-09
4.9e-09	-9.46702e-09
4.95e-09	-9.14703e-09
5e-09	-8.83879e-09
5.05e-09	-8.54159e-09
5.1e-09	-8.25476e-09
5.15e-09	-7.97766e-09
5.2e-09	-7.70972e-09
5.25e-09	-7.45038e-09
5.3e-09	-7.19914e-09
5.35e-09	-6.95552e-09
5.4e-09	-6.71908e-09
5.45e-09	-6.48942e-09
5.5e-09	-6.26616e-09
5.55e-09	-6.04893e-09
5.6e-09	-5.83742e-09
5.65e-09	-5.63132e-09
5.7e-09	-5.43035e-09
5.75e-09	-5.23425e-09
5.8e-09	-5.04276e-09
5.85e-09	-4.85568e-09
5.9e-09	-4.67277e-09
5.95e-09	-4.49385e-09
6e-09	-4.31873e-09
6.05e-09	-4.14725e-09
6.1e-09	-3.97923e-09
6.15e-09	-3.81453e-09
6.2e-09	-3.65302e-09
6.25e-09	-3.49455e-09
6.3e-09	-3.33901e-09
6.35e-09	-3.18629e-09
6.4e-09	-3.03627e-09
6.45e-09	-2.88884e-09
6.5e-09	-2.74393e-09
6.55e-09	-2.60143e-09
6.6e-09	-2.46125e-09
6.65e-09	-2.32333e-09
6.7e-09	-2.18758e-09
6.75e-09	-2.05392e-09
6.8e-09	-1.9223e-09
6.85e-09	-1.79265e-09
6.9e-09	-1.66489e-09
6.95e-09	-1.53899e-09
7e-09	-1.41487e-09
7.05e-09	-1.29249e-09
7.1e-09	-1.1718e-09
7.15e-09	-1.05274e-09
7.2e-09	-9.35271e-10
7.25e-09	-8.19349e-10
7.3e-09	-7.04931e-10
7.35e-09	-5.91975e-10
7.4e-09	-4.80444e-10
7.45e-09	-3.703e-10
7.5e-09	-2.61509e-10
7.55e-09	-1.54032e-10
7.6e-09	-4.78417e-11
7.65e-09	5.70966e-11
7.7e-09	1.60812e-10
7.75e-09	2.63334e-10
7.8e-09	3.6469e-10
7.85e-09	4.64908e-10
7.9e-09	5.64011e-10
7.95e-09	6.62026e-10
8e-09	7.58975e-10
8.05e-09	8.54885e-10
8.1e-09	9.49772e-10
8.15e-09	1.04366e-09
8.2e-09	1.13657e-09
8.25e-09	1.22852e-09
8.3e-09	1.31953e-09
8.35e-09	1.40962e-09
8.4e-09	1.4988e-09
8.45e-09	1.58709e-09
8.5e-09	1.67451e-09
8.55e-09	1.76107e-09
8.6e-09	1.84679e-09
8.65e-09	1.93168e-09
8.7e-09	2.01576e-09
8.75e-09	2.09904e-09
8.8e-09	2.18152e-09
8.85e-09	2.26323e-09
8.9e-09	2.34417e-09
8.95e-09	2.42436e-09
9e-09	2.50381e-09
9.05e-09	2.58252e-09
9.1e-09	2.66051e-09
9.15e-09	2.73779e-09
9.2e-09	2.81436e-09
9.25e-09	2.89024e-09
9.3e-09	2.96543e-09
9.35e-09	3.03995e-09
9.4e-09	3.11379e-09
9.45e-09	3.18697e-09
9.5e-09	3.25949e-09
9.55e-09	3.33137e-09
9.6e-09	3.4026e-09
9.65e-09	3.4732e-09
9.7e-09	3.54317e-09
9.75e-09	3.61252e-09
9.8e-09	3.68125e-09
9.85e-09	3.74938e-09
9.9e-09	3.81689e-09
9.95e-09	3.88381e-09
1e-08	3.95013e-09

